ITEM,n_obs,intercepto,coef,r2,total_done_mean,delta_tempo_mean
124476,720,156.23459618690137,14.29447375622383,0.2830446657479382,9.301388888888889,289.19305555555553
124548,360,273.4252401241992,14.24342470373239,0.4534119885318979,24.32777777777778,619.9361111111111
124586,19,76.85200173435459,14.203064026593447,0.5134972889233029,13.947368421052632,274.94736842105266
114092,37,254.91246638626495,14.199372543611661,0.041134646565906485,6.945945945945946,353.5405405405405
160055,274,228.9620313970872,14.168500508327543,0.1219708646809996,6.4416058394160585,320.2299270072993
120272,237,247.80394169433475,14.146390658682414,0.1384611382324411,8.573839662447257,369.09282700421943
121760,1845,231.53101848319733,14.07954095087374,0.2923274484204905,13.895934959349594,427.17940379403797
111655,293,263.5575950104538,14.012445505190021,0.12007720628758078,7.849829351535837,373.5529010238908
124594,324,387.71580465980264,13.76501628915923,0.08810316698217968,8.391975308641975,503.23148148148147
110746,68,403.77517347662985,13.740194261380921,0.14729650532985028,8.191176470588236,516.3235294117648
118416,95,274.55232950166965,13.703434048291802,0.09559022663027661,6.831578947368421,368.1684210526316
123032,43,86.51409551892056,13.512515876207074,0.5445516503735186,27.674418604651162,460.4651162790698
123313,426,303.7032505877961,13.481790832421591,0.11971584943757929,9.615023474178404,433.33098591549293
124247,1174,204.8804139141931,13.309539679303324,0.22645104159371288,12.205281090289608,367.32708688245316
122673,1456,197.8646035657222,13.146359693740054,0.4132639736181276,17.114697802197803,422.8605769230769
124433,146,259.6746571494756,13.13656512807566,0.13095628045383245,12.363013698630137,422.0821917808219
110423,26,189.1769911504425,13.12389380530973,0.035689458260155904,3.5384615384615383,235.6153846153846
110750,145,172.0815941205974,13.001896380917637,0.5552546421948172,11.524137931034483,321.9172413793103
110751,499,169.62508327662516,12.993029275710889,0.1287271857554919,6.875751503006012,258.9619238476954
114097,36,320.00720354636127,12.93266839059229,0.1575000389525537,10.833333333333334,460.1111111111111
118417,111,201.76941692349055,12.886456243407043,0.038658573743777236,4.792792792792793,263.5315315315315
111351,10,183.9120654396728,12.850715746421265,0.04991204639433666,4.1,236.6
123153,1002,228.53570163821797,12.822508356748317,0.3598757925479281,22.028942115768462,511.001996007984
117842,317,182.5662906914005,12.818809896970796,0.04889170237016238,5.17981072555205,248.9652996845426
110582,283,323.2791040512279,12.782645372027343,0.021769529945039223,5.4946996466431095,393.5159010600707
118306,614,258.2575245066946,12.695897884659544,0.0870973879208341,7.273615635179153,350.6026058631922
123080,200,257.86726372243993,12.536450531036337,0.3888618107048951,23.12,547.71
122983,1068,205.2723645326684,12.476862590537241,0.29418980664166827,13.228464419475655,370.32209737827714
122189,125,198.17045238902244,12.467361525816736,0.6180012029632467,21.032,460.384
120028,1159,265.6737609194764,12.450531985950715,0.3549049674503756,24.9137187230371,575.862812769629
115817,38,158.12581116433932,12.410321747698164,0.05543982662943836,5.657894736842105,228.3421052631579
110749,89,321.92359056732664,12.405326838065228,0.24819323833797213,13.07865168539326,484.1685393258427
109937,229,317.4093577610919,12.177544588054657,0.040509763628151174,5.5895196506550215,385.4759825327511
